sz000968,煤 气 化,7.67
sz000969,安泰科技,13.12
sz000970,中科三环,15.75
sz000971,高升控股,0.00
sz000972,新中基,0.00
sz000973,佛塑科技,11.43
sz000975,银泰资源,13.02
sz000976,*ST春晖,8.91
sz000977,浪潮信息,30.98
sz000978,桂林旅游,11.72
sz000979,中弘股份,5.31
sz000980,金马股份,0.00
sz000981,银亿股份,0.00
sz000982,中银绒业,0.00
sz000983,西山煤电,6.20
sz000985,大庆华科,23.78
sz000987,广州友谊,26.63
sz000988,华工科技,18.18
sz000989,九 芝 堂,29.48
sz000990,诚志股份,28.39
sz000993,闽东电力,10.80
sz000995,*ST皇台,12.40
sz000996,中国中期,30.35
sz000997,新 大 陆,24.90
sz000998,隆平高科,21.70
sz000999,华润三九,27.16
sz002001,新 和 成,16.15
sz002002,鸿达兴业,27.28
sz002003,伟星股份,16.12
sz002004,华邦健康,14.34
sz002005,德豪润达,10.38
sz002006,精功科技,14.96
sz002007,华兰生物,42.80
sz002008,大族激光,25.77
sz002009,天奇股份,20.25
sz002010,传化股份,24.04
sz002011,盾安环境,15.22
sz002012,凯恩股份,8.91
sz002013,中航机电,24.10
sz002014,永新股份,20.28
sz002015,*ST霞客,0.00
sz002016,世荣兆业,13.77
sz002017,东信和平,18.01
sz002018,华信国际,0.00
sz002019,亿帆鑫富,31.31
sz002020,京新药业,30.20
sz002021,中捷资源,12.29
sz002022,科华生物,31.36
sz002023,海特高新,21.33
sz002024,苏宁云商,15.12
sz002025,航天电器,28.36
sz002026,山东威达,0.00
sz002027,七喜控股,52.72
sz002028,思源电气,16.65
sz002029,七 匹 狼,13.51
sz002030,达安基因,43.21
sz002031,巨轮智能,14.33
sz002032,苏 泊 尔,25.90
sz002033,丽江旅游,14.69
sz002034,美 欣 达,41.76
sz002035,华帝股份,17.00
sz002036,汉麻产业,29.74
sz002037,久联发展,27.09
sz002038,双鹭药业,34.41
sz002039,黔源电力,18.34
sz002040,南 京 港,0.00
sz002041,登海种业,17.74
sz002042,华孚色纺,12.53
sz002043,兔 宝 宝,15.85
sz002044,江苏三友,0.00
sz002045,国光电器,16.48
sz002046,轴研科技,12.32
sz002047,宝鹰股份,11.83
sz002048,宁波华翔,0.00
sz002049,同方国芯,64.30
sz002050,三花股份,10.05
